"Standard Report - Imports"
"Current date: 06/02/2026 2:14 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","China","January 2026","81,651,244"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","China","February 2026","75,074,998"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","China","March 2026","70,907,162"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","January 2024","859,451,417"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","February 2024","931,524,407"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","March 2024","957,738,205"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","April 2024","969,845,267"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","May 2024","1,500,709,283"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","June 2024","755,341,983"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","July 2024","846,128,298"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","August 2024","860,337,874"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","September 2024","1,037,783,450"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","October 2024","1,225,296,238"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","November 2024","714,130,993"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","December 2024","921,498,205"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","January 2025","977,807,849"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","February 2025","793,122,918"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","March 2025","1,186,449,008"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","April 2025","822,944,851"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","May 2025","482,630,277"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","June 2025","365,034,030"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","July 2025","686,572,795"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","August 2025","484,812,092"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","September 2025","170,666,750"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","October 2025","205,845,549"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","November 2025","117,704,206"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","December 2025","145,054,318"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","January 2026","185,761,185"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","February 2026","183,239,555"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","India","March 2026","312,254,861"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","January 2024","476,974,730"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","February 2024","262,767,470"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","March 2024","487,972,097"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","April 2024","288,687,205"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","May 2024","636,753,264"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","June 2024","285,609,583"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","July 2024","295,092,532"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","August 2024","264,551,650"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","September 2024","323,865,571"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","October 2024","294,626,821"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","November 2024","379,365,069"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","December 2024","312,668,247"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","January 2025","388,394,700"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","February 2025","303,469,054"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","March 2025","434,590,737"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","April 2025","254,045,618"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","May 2025","97,760,152"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","June 2025","35,351,069"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","July 2025","86,920,142"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","August 2025","109,413,311"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","September 2025","49,247,634"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","October 2025","48,006,820"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","November 2025","110,701,293"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","December 2025","67,040,416"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","January 2026","77,936,503"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","February 2026","79,999,140"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Israel","March 2026","42,866,115"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","January 2024","163,341,070"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","February 2024","181,234,498"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","March 2024","224,230,160"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","April 2024","194,671,563"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","May 2024","209,322,307"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","June 2024","190,123,197"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","July 2024","213,528,240"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","August 2024","117,689,333"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","September 2024","187,989,017"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","October 2024","255,419,856"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","November 2024","226,136,401"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","December 2024","214,079,680"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","January 2025","232,098,490"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","February 2025","326,966,438"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","March 2025","238,911,418"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","April 2025","199,631,258"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","May 2025","185,022,465"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","June 2025","186,182,291"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","July 2025","276,759,078"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","August 2025","132,841,123"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","September 2025","210,384,603"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","October 2025","289,538,823"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","November 2025","259,705,591"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","December 2025","260,746,811"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","January 2026","139,331,153"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","February 2026","264,457,135"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Italy","March 2026","277,909,132"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","January 2024","240,439,215"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","February 2024","117,655,994"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","March 2024","134,204,587"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","April 2024","124,027,729"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","May 2024","186,433,074"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","June 2024","119,344,374"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","July 2024","134,232,231"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","August 2024","129,252,971"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","September 2024","164,514,128"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","October 2024","167,821,939"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","November 2024","162,445,632"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","December 2024","138,154,847"
